Gambar,EAR,MAR,Nose X,Nose Y
218,2.8682374377611266,17.46081534807155,504,702
219,2.696609200861021,9.43041382291586,499,696
220,2.176561233007463,8.563189938119605,505,703
221,2.5021059150950253,13.811263737949794,503,702
222,2.8319539136016267,13.59207026954537,506,702
223,2.410813386384347,13.105512177716589,500,700
224,2.5491207427864007,15.207137002086162,491,704
225,2.384915320099399,7.809390230339769,501,703
226,2.6494979722228207,6.7528360645304994,496,705
227,2.2089377610579937,20.55356107789252,500,709
228,2.4309360208710724,11.627017796823107,502,706
229,2.26909781919918,11.768751809645154,500,706
230,2.6607488806472936,15.61187634127847,500,708
231,2.8823978322702204,11.057606266893849,496,712
232,2.578650647421947,8.088903814080178,498,710
233,2.8177112294113256,13.305687984177679,502,708
234,2.8735073496164345,29.831075092434265,498,710
235,2.578126912381025,27.19876920162986,499,710
236,2.417263061021361,8.94773261786766,495,712
237,2.831416658325435,12.004377166665632,499,713
238,2.821209360807467,16.662531121599773,495,707
239,2.9177615682890483,15.341114699911097,494,713
240,2.560325413979821,17.230546187329185,499,717
241,2.7715892456481863,9.730373410337048,500,713
242,2.266824712070558,9.351328862954867,502,713
243,2.7428318425837945,15.598570720933358,493,714
244,2.521327551980363,18.222330766621194,492,719
245,2.419070293452271,7.657653561030404,503,712
246,2.534089565129242,13.254384247704133,498,715
247,2.143405473206101,26.06662553089772,506,720
248,2.378022527855936,16.364411731324495,496,720
249,1.917482487365554,42.052991058617806,503,715
250,2.0451586040873697,19.21956091312395,500,716
251,2.247182744804542,8.906409084576428,495,720
252,2.332458385459029,7.007903519127504,495,711
253,2.1388323250254153,21.151219976667985,498,714
254,2.3564398541890554,11.107080376550721,494,715
255,2.5346977668073767,20.60674242017898,497,714
256,2.224155635412928,19.182623839349603,493,714
257,2.307864618223639,12.497643625120038,498,716
258,2.941773419329043,18.268908971143407,498,715
259,2.2680937391596987,6.248105622260467,496,713
260,2.489117755528903,7.030890598783857,494,714
261,2.0275649485380045,21.53227591760631,502,713
262,2.3397453736372955,11.323449266238095,495,708
263,2.3150243220589815,25.151010403767295,492,709
264,2.2870476942879594,14.483544801342447,496,711
265,2.236693969501154,14.240721483954621,503,713
266,2.9638480957905986,13.409957375454779,501,708
267,2.286605853855268,9.352007388709547,499,709
268,2.343827472819192,9.460400706991791,500,711
269,2.314228379747835,10.11951491121591,497,711
270,2.2146435053220834,10.001181143394124,502,705
271,2.304116256227275,13.34115888599143,502,711
272,2.191976489203805,80.23947212013609,502,707
273,2.336585120798399,9.999890267514964,501,708
274,2.205664539624521,24.915956261159653,503,711
275,2.3038404612701227,7.497405719034778,502,707
276,2.3627918874177007,13.986732265195783,504,707
277,2.391673627056947,10.862709534170031,497,708
278,2.2203596075610914,7.158080271007741,502,703
279,2.374761453384915,11.969361315806442,503,706
280,2.3748144763328876,15.952985756366507,499,711
281,2.018869739817036,9.963889090170436,494,704
282,2.6169166596087887,22.31367248190549,491,710
283,2.9818115190500403,9.44736253032189,498,708
284,2.241915915702041,22.730602566482943,491,709
285,2.2606423221681213,16.05159691967778,491,705
286,2.6502072092008775,16.300822716660942,486,705
287,2.2521125615787403,11.196395867082627,484,706
288,2.152440188898055,14.39947811609604,482,709
289,2.3004384535346865,14.310786123325567,485,706
290,2.297749298845676,21.661401940070764,487,707
291,2.362184017940656,13.406879442951915,484,705
292,2.3243500018042855,17.983583028484666,481,705
293,2.2961989353863297,11.47519024827101,486,708
294,2.5924098931307915,9.67945997515511,478,711
295,2.216318284512957,29.072351647631223,479,707
296,2.2608775119840208,8.51390608698414,474,705
297,2.8577811867095697,10.794463638539638,474,713
298,2.9884907946089205,9.612394641319602,474,710
299,2.8100017539625473,5.8340779733015316,480,708
300,2.2815044976885632,16.443468687561857,482,710
301,3.060135370807461,11.148062884982044,480,713
302,2.3272489512872685,8.525119171948429,473,711
303,2.5074467345482967,6.50753751345283,473,714
304,2.440400736506527,11.496013608612872,479,714
305,2.5087400156652446,10.768245589345844,481,713
306,2.1666758115917872,15.643210024085459,480,711
307,2.649079756679215,7.960706426697358,478,715
308,2.8000551226578554,12.129621622520629,478,712
309,2.682983731887238,13.399445257992387,482,713
310,2.413911266975942,8.728832975486075,480,712
311,2.445757639504949,36.4136032586872,481,711
312,2.5180636158418377,12.336498939863773,472,718
313,2.451779058767328,9.17961804838085,476,716
314,2.4821479637278148,6.314429541378399,477,716
315,2.371959052152765,11.283342996732872,478,712
316,2.5710404268562126,10.541856424138363,475,717
317,2.376908668083159,9.199389635169286,473,713
318,2.7118831096714358,10.796944663041195,470,718
319,2.0727404553957856,10.872270346156883,479,708
320,2.9243322297971135,10.751483584607437,474,718
321,2.392589813591683,8.414322361673158,474,715
322,2.3783228991451972,36.34718804672789,470,719
323,2.4552302953004914,9.686453992550923,477,718
324,2.260539518294676,6.972569516287456,473,715
325,2.28047601539697,20.087730893265974,476,711
326,2.050364115252124,9.832206121354055,473,720
